year,month,manufacturer,value
2023,12,重庆万虎机电有限责任公司,515.0
2023,12,福建省晋江市三力机车有限公司,1204.0
2023,12,杭州土星动力科技有限公司,1708.0
2023,12,济南轻骑铃木摩托车有限公司,744.0
2023,12,浙江日雅摩托车有限公司,408.0
2023,12,康超集团广州摩托车制造有限公司,0.0
2023,12,立峰集团有限公司,49.0
2023,12,江苏林芝山阳集团有限公司,96.0
2023,12,广州五羊摩托有限公司,0.0
2023,12,宁波东方凌云车辆制造有限公司,0.0
2023,12,慈溪金轮机车制造有限公司,24.0
2023,12,江苏雄风机车有限公司,0.0
2023,12,广东大联统摩托车有限公司,0.0
2023,12,广东嘉纳仕科技实业有限公司,0.0
2023,12,重庆恒胜集团有限公司,0.0
2024,1,重庆隆鑫机车有限公司,114734.0
2024,1,江门市大长江集团有限公司,74104.0
2024,1,广东大冶摩托车技术有限公司,71352.0
2024,1,重庆银翔摩托车集团有限公司,55518.0
2024,1,宗申产业集团有限公司,52980.0
2024,1,广州豪进摩托车股份有限公司,45899.0
2024,1,新大洲本田摩托(苏州)有限公司,34207.0
2024,1,广州天马集团天马摩托车有限公司,28593.0
2024,1,浙江钱江摩托股份有限公司,24883.0
2024,1,洛阳北方企业集团有限公司,21794.0
2024,1,力帆实业（集团）股份有限公司,20805.0
2024,1,厦门厦杏摩托有限公司,20373.0
2024,1,珠海珠江车业有限公司,19861.0
2024,1,广州大运摩托车有限公司,19237.0
2024,1,广州三雅摩托车有限公司,17718.0
2024,1,重庆润通智能装备有限公司,16421.0
2024,1,重庆航天巴山摩托车制造有限公司,16309.0
2024,1,广东星际机车科技有限公司,14255.0
2024,1,台州市王野机车有限责任公司,12942.0
2024,1,五羊-本田摩托（广州）有限公司,12749.0
2024,1,江门市长华集团有限公司,11841.0
2024,1,浙江春风动力股份有限公司,11176.0
2024,1,长铃集团长春摩托车工业有限公司,11087.0
2024,1,浙江嘉爵摩托车制造有限公司,10980.0
2024,1,重庆鑫源摩托车股份有限公司,10430.0
2024,1,江苏众星摩托有限公司,8551.0
2024,1,重庆建设机电有限责任公司,8219.0
2024,1,江门市迪豪摩托车有限公司,7686.0
2024,1,鹤山国机南联摩托车工业有限公司,7547.0
2024,1,常州光阳摩托车有限公司,7125.0
2024,1,宁波市龙嘉摩托车有限公司,6878.0
2024,1,三友控股集团银友摩托车有限公司,6780.0
2024,1,江门市华龙摩托车有限公司,6769.0
