year,month,indicator,scope,category,type,value
2016,4,生产,二轮,其它式,车型,0.0
2016,4,生产,二轮,弯梁式,车型,227887.0
2016,4,生产,二轮,踏板式,车型,269167.0
2016,4,生产,二轮,骑式式,车型,740938.0
2016,4,生产,总计,总计,汇总,1420226.0
2016,4,销售,三轮,125ml<排量≤150ml,排量,92897.0
2016,4,销售,三轮,150ml<排量≤250ml,排量,82187.0
2016,4,销售,三轮,250ml<排量≤400ml,排量,820.0
2016,4,销售,三轮,400ml<排量≤750ml,排量,1311.0
2016,4,销售,三轮,50ml<排量≤100ml,排量,4864.0
2016,4,销售,三轮,排量>750ml,排量,1125.0
2016,4,销售,三轮,排量≤50ml,排量,0.0
2016,4,销售,三轮,电动摩托车,排量,0.0
2016,4,销售,三轮,三轮,汇总,183204.0
2016,4,销售,三轮,正三轮,车型,183141.0
2016,4,销售,三轮,边三轮,车型,63.0
2016,4,销售,二轮,100ml<排量≤110ml,排量,231144.0
2016,4,销售,二轮,110ml<排量≤125ml,排量,479024.0
2016,4,销售,二轮,125ml<排量≤150ml,排量,271363.0
2016,4,销售,二轮,150ml<排量≤250ml,排量,67125.0
2016,4,销售,二轮,250ml<排量≤400ml,排量,3330.0
2016,4,销售,二轮,400ml<排量≤750ml,排量,792.0
2016,4,销售,二轮,50ml<排量≤60ml,排量,0.0
2016,4,销售,二轮,60ml<排量≤70ml,排量,7479.0
2016,4,销售,二轮,70ml<排量≤80ml,排量,506.0
2016,4,销售,二轮,80ml<排量≤90ml,排量,5832.0
2016,4,销售,二轮,90ml<排量≤100ml,排量,67716.0
2016,4,销售,二轮,排量>750ml,排量,0.0
2016,4,销售,二轮,排量≤50ml,排量,84692.0
2016,4,销售,二轮,电动摩托车,排量,5179.0
2016,4,销售,二轮,二轮,汇总,1224182.0
2016,4,销售,二轮,其它式,车型,0.0
2016,4,销售,二轮,弯梁式,车型,239693.0
2016,4,销售,二轮,踏板式,车型,259075.0
2016,4,销售,二轮,骑式式,车型,725414.0
2016,4,销售,总计,总计,汇总,1407386.0
2016,5,生产,三轮,125ml<排量≤150ml,排量,92987.0
2016,5,生产,三轮,150ml<排量≤250ml,排量,107495.0
2016,5,生产,三轮,250ml<排量≤400ml,排量,1727.0
2016,5,生产,三轮,400ml<排量≤750ml,排量,961.0
2016,5,生产,三轮,50ml<排量≤100ml,排量,5768.0
2016,5,生产,三轮,排量>750ml,排量,699.0
2016,5,生产,三轮,排量≤50ml,排量,0.0
2016,5,生产,三轮,电动摩托车,排量,15.0
2016,5,生产,三轮,三轮,汇总,209652.0
2016,5,生产,三轮,正三轮,车型,209522.0
2016,5,生产,三轮,边三轮,车型,130.0
2016,5,生产,二轮,100ml<排量≤110ml,排量,195160.0
2016,5,生产,二轮,110ml<排量≤125ml,排量,502119.0
2016,5,生产,二轮,125ml<排量≤150ml,排量,271921.0
2016,5,生产,二轮,150ml<排量≤250ml,排量,75880.0
2016,5,生产,二轮,250ml<排量≤400ml,排量,3655.0
2016,5,生产,二轮,400ml<排量≤750ml,排量,1120.0
2016,5,生产,二轮,50ml<排量≤60ml,排量,0.0
2016,5,生产,二轮,60ml<排量≤70ml,排量,8390.0
2016,5,生产,二轮,70ml<排量≤80ml,排量,803.0
2016,5,生产,二轮,80ml<排量≤90ml,排量,6420.0
2016,5,生产,二轮,90ml<排量≤100ml,排量,73270.0
2016,5,生产,二轮,排量>750ml,排量,2.0
2016,5,生产,二轮,排量≤50ml,排量,66210.0
2016,5,生产,二轮,电动摩托车,排量,9532.0
2016,5,生产,二轮,二轮,汇总,1214482.0
2016,5,生产,二轮,其它式,车型,0.0
2016,5,生产,二轮,弯梁式,车型,210669.0
2016,5,生产,二轮,踏板式,车型,305501.0
2016,5,生产,二轮,骑式式,车型,698312.0
2016,5,生产,总计,总计,汇总,1424134.0
2016,5,销售,三轮,125ml<排量≤150ml,排量,92787.0
2016,5,销售,三轮,150ml<排量≤250ml,排量,108802.0
2016,5,销售,三轮,250ml<排量≤400ml,排量,1690.0
2016,5,销售,三轮,400ml<排量≤750ml,排量,938.0
2016,5,销售,三轮,50ml<排量≤100ml,排量,5853.0
2016,5,销售,三轮,排量>750ml,排量,664.0
2016,5,销售,三轮,排量≤50ml,排量,0.0
2016,5,销售,三轮,电动摩托车,排量,15.0
2016,5,销售,三轮,三轮,汇总,210749.0
2016,5,销售,三轮,正三轮,车型,210683.0
2016,5,销售,三轮,边三轮,车型,66.0
2016,5,销售,二轮,100ml<排量≤110ml,排量,198501.0
2016,5,销售,二轮,110ml<排量≤125ml,排量,489528.0
2016,5,销售,二轮,125ml<排量≤150ml,排量,262641.0
2016,5,销售,二轮,150ml<排量≤250ml,排量,72033.0
2016,5,销售,二轮,250ml<排量≤400ml,排量,3410.0
2016,5,销售,二轮,400ml<排量≤750ml,排量,1106.0
2016,5,销售,二轮,50ml<排量≤60ml,排量,0.0
2016,5,销售,二轮,60ml<排量≤70ml,排量,7640.0
2016,5,销售,二轮,70ml<排量≤80ml,排量,1039.0
2016,5,销售,二轮,80ml<排量≤90ml,排量,5611.0
2016,5,销售,二轮,90ml<排量≤100ml,排量,72410.0
2016,5,销售,二轮,排量>750ml,排量,0.0
2016,5,销售,二轮,排量≤50ml,排量,65592.0
2016,5,销售,二轮,电动摩托车,排量,6134.0
2016,5,销售,二轮,二轮,汇总,1185645.0
2016,5,销售,二轮,其它式,车型,0.0
2016,5,销售,二轮,弯梁式,车型,217329.0
2016,5,销售,二轮,踏板式,车型,299311.0
2016,5,销售,二轮,骑式式,车型,669005.0
2016,5,销售,总计,总计,汇总,1396394.0
2016,6,生产,三轮,125ml<排量≤150ml,排量,89702.0
2016,6,生产,三轮,150ml<排量≤250ml,排量,80623.0
2016,6,生产,三轮,250ml<排量≤400ml,排量,1218.0
2016,6,生产,三轮,400ml<排量≤750ml,排量,779.0
2016,6,生产,三轮,50ml<排量≤100ml,排量,3928.0
2016,6,生产,三轮,排量>750ml,排量,855.0
2016,6,生产,三轮,排量≤50ml,排量,0.0
2016,6,生产,三轮,电动摩托车,排量,0.0
2016,6,生产,三轮,三轮,汇总,177105.0
2016,6,生产,三轮,正三轮,车型,177022.0
2016,6,生产,三轮,边三轮,车型,83.0
2016,6,生产,二轮,100ml<排量≤110ml,排量,211931.0
2016,6,生产,二轮,110ml<排量≤125ml,排量,489398.0
2016,6,生产,二轮,125ml<排量≤150ml,排量,284346.0
2016,6,生产,二轮,150ml<排量≤250ml,排量,69635.0
2016,6,生产,二轮,250ml<排量≤400ml,排量,3759.0
2016,6,生产,二轮,400ml<排量≤750ml,排量,1340.0
2016,6,生产,二轮,50ml<排量≤60ml,排量,0.0
2016,6,生产,二轮,60ml<排量≤70ml,排量,8177.0
2016,6,生产,二轮,70ml<排量≤80ml,排量,2531.0
2016,6,生产,二轮,80ml<排量≤90ml,排量,5695.0
2016,6,生产,二轮,90ml<排量≤100ml,排量,75392.0
2016,6,生产,二轮,排量>750ml,排量,0.0
2016,6,生产,二轮,排量≤50ml,排量,56939.0
2016,6,生产,二轮,电动摩托车,排量,13024.0
2016,6,生产,二轮,二轮,汇总,1222167.0
2016,6,生产,二轮,其它式,车型,0.0
2016,6,生产,二轮,弯梁式,车型,243716.0
